"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3285","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2246","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","3834","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2025","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1518","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1771","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","5486","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1797","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","2145","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","2082","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1597","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2136","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1396","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1449","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","4684","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1633","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2954","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2166","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2244","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","10464","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
